Site_ID,medium_cd,site_no,Piez_Nest,Site_name,sample_dt,Date_Analyzed,coll_ent_cd,remark_cd,result_va,result_va_meq,meth_cd,rpt_lev_va,anl_ent_cd,parameter_nm,srsname,parameter_units,Source,Sample.area.or.well.piezometer.Unit.Formation.of.Screened.Interval,Latitude,Latitude_Datum,Longitude,LandSurfaceElevation_ft..NAVD88,Well_Depth_ft..BLS,Top.of.Sample_ftBLS,Bottom.of.Sample_ftBLS,MeanSampleDepth_ftBLS
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,NA,USGS,NA,224.5,3.688797814,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1062.665,-1127.383333,-1130.813333,-1127.665,-1129.239167
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,409.1,6.725191257,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1062.27,-1185.123333,-1188.573333,-1185.41,-1186.991667
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,462.6,7.593770492,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1061.875,-1242.863333,-1246.333333,-1243.155,-1244.744167
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,431.7,7.105846995,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1061.48,-1300.603333,-1304.093333,-1300.9,-1302.496667
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,585.4,9.603497268,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1061.085,-1358.343333,-1361.853333,-1358.645,-1360.249167
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,443.6,7.299234973,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1060.69,-1416.083333,-1419.613333,-1416.39,-1418.001667
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,437.3,7.190874317,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1060.295,-1473.823333,-1477.373333,-1474.135,-1475.754167
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,724.8,11.89551913,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1059.9,-1531.563333,-1535.133333,-1531.88,-1533.506667
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,466.7,7.696557377,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1059.505,-1589.303333,-1592.893333,-1589.625,-1591.259167
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160622,USGS,NA,8.71,0.363177258,PLO04,1.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.59,99.65,96.04,99.63,97.835
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,8.33,0.337736901,PLO05,2.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.51,139.39,135.34,139.49,137.415
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,14.39,0.599074693,PLO06,3.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.43,179.13,174.64,179.35,176.995
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,26.25,1.099386845,PLO07,4.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.35,218.87,213.94,219.21,216.575
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,63.31,2.72567447,PLO08,5.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.27,258.61,253.24,259.07,256.155
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,18.57,0.779386845,PLO09,6.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.19,298.35,292.54,298.93,295.735
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,7.91,0.307881828,PLO10,7.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.11,338.09,331.84,338.79,335.315
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,48,2.049498328,PLO11,8.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.03,377.83,371.14,378.65,374.895
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,5.71,0.221148272,PLO12,9.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.95,417.57,410.44,418.51,414.475
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,6.33,0.243823857,PLO13,10.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.87,457.31,449.74,458.37,454.055
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,97.95,4.223913043,PLO14,11.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.79,497.05,489.04,498.23,493.635
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,21.35,0.897045708,PLO15,12.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.71,536.79,528.34,538.09,533.215
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,8.55,0.344804905,PLO16,13.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.63,576.53,567.64,577.95,572.795
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,59.06,2.472218506,PLO17,14.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.55,616.27,606.94,617.81,612.375
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,39.47,1.631003344,PLO18,15.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.47,656.01,646.24,657.67,651.955
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,94.62,3.969074693,PLO19,16.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.39,695.75,685.54,697.53,691.535
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,92.26,3.880022297,PLO20,17.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.31,735.49,724.84,737.39,731.115
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,136.99,5.813567447,PLO21,18.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.23,775.23,764.14,777.25,770.695
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,13.41,0.520613155,PLO22,19.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.15,814.97,803.44,817.11,810.275
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,4.14,0.152887402,PLO23,20.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.07,854.71,842.74,856.97,849.855
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,97.18,4.184548495,PLO24,21.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1068.99,894.45,882.04,896.83,889.435
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,84.47,3.626767001,PLO25,22.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1068.91,934.19,921.34,936.69,929.015
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,70.48,2.9987068,PLO26,23.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1068.83,973.93,960.64,976.55,968.595
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,15.11,0.649643255,PLO27,24.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1068.75,1013.67,999.94,1016.41,1008.175
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,108.92,4.701404682,PLO28,25.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1068.67,1053.41,1039.24,1056.27,1047.755
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,89.53,3.861750279,PLO29,26.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1068.59,1093.15,1078.54,1096.13,1087.335
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,31.1,1.268338907,PLO30,27.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1068.51,1132.89,1117.84,1135.99,1126.915
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,134.41,5.783088071,PLO31,28.1,USGSNWQL,Sodium_Potassium,Sodium_Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1068.43,1172.63,1157.14,1175.85,1166.495
CWO1-A,WG,464110092531401.00,CW_1,Cromwell,5/13/2016,NA,USGS,NA,0.1460844,0.0023562,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,464110092531402.00,CW_1,Cromwell,5/12/2016,NA,USGS,NA,0.0619752,0.0009996,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,464110092531403.00,CW_1,Cromwell,5/12/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,464112092531401.00,CW_2,Cromwell,5/13/2016,NA,USGS,NA,7.879704,0.127092,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,464112092531402.00,CW_2,Cromwell,5/12/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,464112092531403.00,CW_2,Cromwell,5/12/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,464112092531404.00,CW_2,Cromwell,5/13/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,464112092531405.00,CW_2,Cromwell,5/13/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,465652094394701.00,HFC_1,HFC,9/11/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,465652094394801.00,HFC_1,HFC,9/12/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,465652094394802.00,HFC_1,HFC,9/12/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,465652094394803.00,HFC_1,HFC,9/12/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,465652094394804.00,HFC_1,HFC,9/12/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,450832094321201.00,LF_2,Litchfield,5/11/2016,NA,USGS,NA,1.4342832,0.0231336,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,450832094321202.00,LF_2,Litchfield,5/11/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,450832094321203.00,LF_2,Litchfield,5/11/2016,NA,USGS,NA,0.11067,0.001785,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,450832094321204.00,LF_2,Litchfield,5/10/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,450832094321205.00,LF_2,Litchfield,5/10/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,450832094321206.00,LF_2,Litchfield,5/10/2016,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,465652094394501.00,HFC_1,HFC,9/11/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,444630095002201.00,Ol_1,Olivia,10/24/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,444639095002201.00,Ol_1,Olivia,10/24/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,444630095002206.00,Ol_1,Olivia,10/23/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,444630095002202.00,Ol_1,Olivia,10/24/2017,NA,USGS,NA,4.692408,0.075684,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,444630095002207.00,Ol_1,Olivia,10/23/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,444630095002208.00,Ol_1,Olivia,10/23/2017,NA,USGS,<,0.0398412,0.0006426,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,444630095002203.00,Ol_1,Olivia,10/24/2017,NA,USGS,<,0.0398412,0.0006426,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,444630095002205.00,Ol_1,Olivia,10/24/2017,NA,USGS,<,0.044268,0.000714,ALGOR,NA,USGSNWQL,Nitrate_ water_ filtered_ milligrams per liter as nitrogen,Nitrate,mg/l as Nitrate,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,464110092531401.00,CW_1,Cromwell,5/13/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,464110092531402.00,CW_1,Cromwell,5/12/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,464110092531403.00,CW_1,Cromwell,5/12/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,464112092531401.00,CW_2,Cromwell,5/13/2016,20160520,USGS,NA,0.912952,0.019846783,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,464112092531402.00,CW_2,Cromwell,5/12/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,464112092531403.00,CW_2,Cromwell,5/12/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,464112092531404.00,CW_2,Cromwell,5/13/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,464112092531405.00,CW_2,Cromwell,5/13/2016,20160520,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,465652094394701.00,HFC_1,HFC,9/11/2017,20170918,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,465652094394801.00,HFC_1,HFC,9/12/2017,20170921,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,465652094394802.00,HFC_1,HFC,9/12/2017,20170921,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,465652094394803.00,HFC_1,HFC,9/12/2017,20170921,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,465652094394804.00,HFC_1,HFC,9/12/2017,20170921,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,450832094321201.00,LF_2,Litchfield,5/11/2016,20160518,USGS,NA,0.101804,0.00221313,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,450832094321202.00,LF_2,Litchfield,5/11/2016,20160518,USGS,<,0.003284,7.13913E-05,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,450832094321203.00,LF_2,Litchfield,5/11/2016,20160518,USGS,NA,0.01642,0.000356957,DZ001,0.001,USGSNWQL,Nitrite_ water_ filtered_ milligrams per liter as nitrogen,Nitrite,mg/l as Nitrite,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
